Init,n_init,max_iter,norm,error
k-means++,5,100,True,0.45643524965187987
k-means++,5,100,False,0.25953186128240835
k-means++,5,200,True,0.457496187255487
k-means++,5,200,False,0.25953186128240835
k-means++,5,300,True,0.4575956501558252
k-means++,5,300,False,0.2593660897818447
k-means++,5,500,True,0.45686625555334526
k-means++,5,500,False,0.2593660897818447
k-means++,10,100,True,0.45752934155559977
k-means++,10,100,False,0.259332935481732
k-means++,10,200,True,0.45752934155559977
k-means++,10,200,False,0.259332935481732
k-means++,10,300,True,0.45752934155559977
k-means++,10,300,False,0.2593660897818447
k-means++,10,500,True,0.457496187255487
k-means++,10,500,False,0.2593660897818447
k-means++,15,100,True,0.45643524965187987
k-means++,15,100,False,0.2593660897818447
k-means++,15,200,True,0.456534712552218
k-means++,15,200,False,0.2593660897818447
k-means++,15,300,True,0.45752934155559977
k-means++,15,300,False,0.25953186128240835
k-means++,15,500,True,0.45686625555334526
k-means++,15,500,False,0.2593660897818447
k-means++,20,100,True,0.4558384722498508
k-means++,20,100,False,0.259332935481732
k-means++,20,200,True,0.4566341754525562
k-means++,20,200,False,0.259332935481732
k-means++,20,300,True,0.45752934155559977
k-means++,20,300,False,0.2590013924806047
k-means++,20,500,True,0.45600424375041443
k-means++,20,500,False,0.25943239838207016
random,5,100,True,0.45752934155559977
random,5,100,False,0.2593660897818447
random,5,200,True,0.45600424375041443
random,5,200,False,0.2593660897818447
random,5,300,True,0.45756249585571246
random,5,300,False,0.2593660897818447
random,5,500,True,0.4575956501558252
random,5,500,False,0.25953186128240835
random,10,100,True,0.45752934155559977
random,10,100,False,0.2593660897818447
random,10,200,True,0.457496187255487
random,10,200,False,0.2593660897818447
random,10,300,True,0.45752934155559977
random,10,300,False,0.25943239838207016
random,10,500,True,0.45752934155559977
random,10,500,False,0.2593660897818447
random,15,100,True,0.45666732975266894
random,15,100,False,0.259332935481732
random,15,200,True,0.45580531794973805
random,15,200,False,0.2593660897818447
random,15,300,True,0.45752934155559977
random,15,300,False,0.2593660897818447
random,15,500,True,0.45752934155559977
random,15,500,False,0.259332935481732
random,20,100,True,0.45617001525097806
random,20,100,False,0.25943239838207016
random,20,200,True,0.45600424375041443
random,20,200,False,0.2593660897818447
random,20,300,True,0.45600424375041443
random,20,300,False,0.259332935481732
random,20,500,True,0.45600424375041443
random,20,500,False,0.259332935481732
